filename;content;junior;senior;expert;consensus
1.yaml;TITLE : Multi Currency Platform BFF\nDESCRIPTION :\n      Multi Currency Platform BFF WEB\nENDPOINTS :\n    - GET /DollarPrices\n      Get Dollar Prices\n    - GET /Accounts\n      Get a list of account of custumer;currency;currency;currency;currency
101.yaml;TITLE : Dynamic Client Registration\nDESCRIPTION :\n      The Dynamic Client Registration API provides operations to register and manage client applications for use with La\n      Banque Postale's OAuth 2.0 and OpenID Connect endpoints. This API largely follows the contract defined in RFC7591:\n      OAuth 2.0 Dynamic Client Registration Protocol and OpenID Connect Dynamic Client Registration 1.0.  Note that\n      clients managed via this API are modeled as applications in La Banque Postale and appear in the Apps section of\n      the administrator UI. Changes made via the API appear in the UI and vice versa. Tokens issued by these clients\n      follow the rules for Access Tokens and ID Tokens.\nENDPOINTS :\n    - POST /register\n      Add a new Client Application to your account\n    - GET /register/{client_id}\n      Retrieve an existing Client Application of your account with all its details\n    - DELETE /register/{client_id}\n      Remove a Client Application from your account;client;client;;client
102.yaml;TITLE : Banking app\nDESCRIPTION :\n      A simple banking app api\nENDPOINTS :\n    - GET /ping\n    - GET /account\n      get a list of all accounts\n    - POST /account\n      create a bank account\n    - GET /account/{id}\n      get account by an id\n    - PUT /account/{id}\n      update account by an id\n    - POST /money/withdraw\n      withdraw money from an account\n    - POST /money/deposit\n      add some money to account\n    - PUT /money/transfer\n      transfer money to another account\n    - GET /statements/{id}\n      get account statements;user-password;banking;banking;banking
103.yaml;TITLE : Savings Account Refund Service API\nDESCRIPTION :\n      This suite of APIs can be used to refund the savings accounts balance beloging to a Direct Wines customer.\nENDPOINTS :\n    - POST /user/savingsaccounts/refund/{accountId}\n      Refund Customer Savings Account Balance\n    - POST /user/savingsaccounts/autorefund/{accountId}\n      Refund Customer Savings Account Balance;savings;savings;savings;savings
104.yaml;TITLE : Clients\nDESCRIPTION :\n      Provide CRUD operations for Client domain\nENDPOINTS :\n    - GET /clients\n      Get clients\n    - POST /clients\n      Create a new client\n    - GET /clients/{id}\n      Get a client\n    - PUT /clients/{id}\n      Update a client\n    - DELETE /clients/{id}\n      Delete a client;client;client;client;client
105.yaml;TITLE : Beanstream Payments\nDESCRIPTION :\n      https://www.beanstream.com/api/v1\nENDPOINTS :\n    - POST /payments\n      Make Payment\n    - GET /payments/{transId}\n      Get payment\n    - POST /payments/{transId}/completions\n      Complete pre-auth\n    - POST /payments/{transId}/returns\n      Return payment\n    - POST /payments/{transId}/void\n      Void Transaction\n    - POST /profiles\n      Create Profile\n    - DELETE /profiles/{profileId}\n      Delete profile\n    - GET /profiles/{profileId}\n      Get profile\n    - PUT /profiles/{profileId}\n      Update Profile\n    - GET /profiles/{profileId}/cards\n      Get cards\n    - POST /profiles/{profileId}/cards\n      Add card\n    - DELETE /profiles/{profileId}/cards/{cardId}\n      Delete card\n    - PUT /profiles/{profileId}/cards/{cardId}\n      Update card\n    - POST /reports\n      Search Query\n    - POST /scripts/tokenization/tokens\n      Tokenize credit card;payment;payment;payment;payment
106.yaml;TITLE : Adyen Recurring Service\nDESCRIPTION :\n      Additional methods that allow you to manage payment details stored for recurring payments. For more information,\n      refer to [Recurring payments](https://docs.adyen.com/developers/features/recurring-payments).\nENDPOINTS :\n    - POST /disable\n      Disables stored payment details.\n    - POST /listRecurringDetails\n      Retrieves stored payment details for a shopper.;payment;payment;payment;payment
107.yaml;TITLE : ExchangeRate-API\nDESCRIPTION :\n      Fetch the latest currency exchange rates via API. ExchangeRate-API is free and unlimited.\nENDPOINTS :\n    - GET /latest/{base_currency}\n      Returns latest exchange rates in parameter-supplied base currency.;currency;currency;currency;currency
108.yaml;TITLE : Visma.net.ERP.SalesOrders.Api\nDESCRIPTION :\n\nENDPOINTS :\n    - GET /api/v3/Customers\n      Gets a list of customers\n    - GET /api/v3/Customers/{customerId}/locations\n      Gets a list of locations for the specified customer\n    - GET /api/v3/Inventory\n      Gets an inventory summary for inventory items.\n    - GET /api/v3/SalesOrders\n      Gets a paged list with sales orders of any type\n    - POST /api/v3/SalesOrders\n      Adds a new sales order to the system\n    - GET /api/v3/SalesOrders/{type}\n      Gets a paged list with sales orders of a specific type\n    - DELETE /api/v3/SalesOrders/{type}/{orderId}\n      Delete an existing sales order\n    - GET /api/v3/SalesOrders/{type}/{orderId}\n      Gets information about a single sales order\n    - PATCH /api/v3/SalesOrders/{type}/{orderId}\n      Make modifications to an existing sales order\n    - GET /api/v3/SalesOrders/{type}/{orderId}/commissions\n      Gets commission information for a single sales order\n    - GET /api/v3/SalesOrders/{type}/{orderId}/discounts\n      Gets discount details information for a single sales order\n    - DELETE /api/v3/SalesOrders/{type}/{orderId}/lines\n      Delete lines from an existing sales order\n    - GET /api/v3/SalesOrders/{type}/{orderId}/lines\n      Gets sales order lines for a single sales order\n    - PATCH /api/v3/SalesOrders/{type}/{orderId}/lines\n      Make modifications to an existing sales order lines\n    - POST /api/v3/SalesOrders/{type}/{orderId}/lines\n      Adds new lines to a existing sales order in the system\n    - GET /api/v3/SalesOrders/{type}/{orderId}/lines/{lineId}\n      Gets a specific sales order line for a single sales order\n    - GET /api/v3/SalesOrders/{type}/{orderId}/rotrut\n      Gets ROT/RUT information for a single sales order\n    - GET /api/v3/SalesOrders/{type}/{orderId}/shipment\n      Gets shipment information for a single sales order\n    - GET /api/v3/SalesOrders/{type}/{orderId}/tax\n      Gets tax information for a single sales order;other;other;;other
11.yaml;TITLE : Payment Method\nDESCRIPTION :\n      TMF670 Defines a specific method of payment (e.g. direct debit with all details associated) -       Main payment\n      method attributes are its type, details, name, description, isPreffered, status, status date Payment Method API\n      performs the following operations on payment method. -       Retrieval of a payment method or a collection of\n      payment method depending on filter criteria -       Partial update of a payment method -       Creation of a\n      payment method  -       Notification of events on payment method: o       Payment method state change o\n      Payment method change o       Payment method created o       Payment method deleted   \n\n\nCopyright © TM [...]\nENDPOINTS :\n    - GET /paymentMethod\n      List or find PaymentMethod objects\n    - POST /paymentMethod\n      Creates a PaymentMethod\n    - GET /paymentMethod/{id}\n      Retrieves a PaymentMethod by ID\n    - DELETE /paymentMethod/{id}\n      Deletes a PaymentMethod\n    - PATCH /paymentMethod/{id}\n      Updates partially a PaymentMethod\n    - POST /hub\n      Register a listener\n    - DELETE /hub/{id}\n      Unregister a listener\n    - POST /listener/paymentMethodCreateEvent\n      Client listener for entity PaymentMethodCreateEvent\n    - POST /listener/paymentMethodAttributeValueChangeEvent\n      Client listener for entity PaymentMethodAttributeValueChangeEvent\n    - POST /listener/paymentMethodStatusChangeEvent\n      Client listener for entity PaymentMethodStatusChangeEvent\n    - POST /listener/paymentMethodDeleteEvent\n      Client listener for entity PaymentMethodDeleteEvent;payment;payment;payment;payment
