category;precision;recall;f1_score;support
banking;0.8333333333333334;0.9090909090909091;0.8695652173913043;33
blockchain;0.9285714285714286;0.9285714285714286;0.9285714285714286;14
client;0.5925925925925926;0.8888888888888888;0.7111111111111111;18
currency;0.9230769230769231;0.9230769230769231;0.9230769230769231;13
loan-mortgage;0.9565217391304348;0.9166666666666666;0.9361702127659575;24
no_consensus;0.0;0.0;0.0;4
other;0.0;0.0;0.0;7
payment;0.6923076923076923;0.9;0.782608695652174;20
savings;0.875;0.7777777777777778;0.8235294117647058;18
trading;0.8125;0.8666666666666667;0.8387096774193549;15
transfer;1.0;0.7894736842105263;0.8823529411764706;19
user-password;0.7857142857142857;0.7333333333333333;0.7586206896551724;15
